Ürün Adı,Fiyat,Etkin Piksel,Video Çözünürlüğü,Çıkış Yılı,Teknik Puan,Link
Fujifilm X-T100 15-45mm,,24 MP,Ultra HD,2018 ,60,https://www.epey.com/aynasiz-fotograf-makinesi/fujifilm-x-t100-15-45mm.html
Fujifilm X-T100 18-55mm,,24 MP,Ultra HD,2018 ,60,https://www.epey.com/aynasiz-fotograf-makinesi/fujifilm-x-t100-18-55mm.html
Olympus OM-D E-M5 Mark II 12-100mm,,16 MP,Full HD,2015 ,60,https://www.epey.com/aynasiz-fotograf-makinesi/olympus-om-d-e-m5-mark-ii-12-100mm.html
Nikon D5500,,24 MP,Full HD,2015 ,59,https://www.epey.com/dslr-fotograf-makinesi/nikon-d5500.html
Canon EOS M6,,24 MP,Full HD,2017 ,59,https://www.epey.com/aynasiz-fotograf-makinesi/canon-eos-m6.html
Sony A6000,,24 MP,Full HD,2014 ,59,https://www.epey.com/aynasiz-fotograf-makinesi/sony-a6000.html
Nikon D7200 18-55mm,,24 MP,Full HD,2015 ,59,https://www.epey.com/dslr-fotograf-makinesi/nikon-d7200-18-55mm.html
Canon EOS M100,,24 MP,Full HD,2017 ,59,https://www.epey.com/aynasiz-fotograf-makinesi/canon-eos-m100.html
Fujifilm X-T100,,24 MP,Ultra HD,2018 ,59,https://www.epey.com/aynasiz-fotograf-makinesi/fujifilm-x-t100.html
Canon PowerShot G16,,12 MP,Full HD,2013 ,59,https://www.epey.com/kompakt-fotograf-makinesi/canon-powershot-g16.html
Sony A5100 16-50mm,,24 MP,Full HD,2014 ,59,https://www.epey.com/aynasiz-fotograf-makinesi/sony-a5100-16-50mm.html
Nikon D5300 18-200mm,,24 MP,Full HD,2014 ,58,https://www.epey.com/dslr-fotograf-makinesi/nikon-d5300-18-200mm.html
Nikon D5300 70-300mm,,24 MP,Full HD,2014 ,58,https://www.epey.com/dslr-fotograf-makinesi/nikon-d5300-70-300mm.html
Nikon D5300 11-16mm,,24 MP,Full HD,2014 ,58,https://www.epey.com/dslr-fotograf-makinesi/nikon-d5300-11-16mm.html
Nikon D3500 18-105mm,,24 MP,Full HD,2018 ,58,https://www.epey.com/dslr-fotograf-makinesi/nikon-d3500-18-105mm.html
Nikon D3500 50mm,,24 MP,Full HD,2018 ,58,https://www.epey.com/dslr-fotograf-makinesi/nikon-d3500-50mm.html
Canon PowerShot G3 X,,20 MP,Full HD,2015 ,58,https://www.epey.com/kompakt-fotograf-makinesi/canon-powershot-g3-x.html
Fujifilm X-A7 15-45mm,,24 MP,Ultra HD,2019 ,58,https://www.epey.com/aynasiz-fotograf-makinesi/fujifilm-x-a7-15-45mm.html
Fujifilm X-A7 18-55mm,,24 MP,Ultra HD,2019 ,58,https://www.epey.com/aynasiz-fotograf-makinesi/fujifilm-x-a7-18-55mm.html
Canon EOS 760D 18-135mm,,24 MP,Full HD,2015 ,58,https://www.epey.com/dslr-fotograf-makinesi/canon-eos-760d-18-135mm.html
Nikon D5300 18-140mm,,24 MP,Full HD,2014 ,58,https://www.epey.com/dslr-fotograf-makinesi/nikon-d5300-18-140mm.html
Nikon D5300 18-105mm,,24 MP,Full HD,2014 ,58,https://www.epey.com/dslr-fotograf-makinesi/nikon-d5300-18-105mm.html
Nikon D7200 18-200mm,,24 MP,Full HD,2015 ,58,https://www.epey.com/dslr-fotograf-makinesi/nikon-d7200-18-200mm.html
Canon EOS 760D 18-55mm,,24 MP,Full HD,2015 ,58,https://www.epey.com/dslr-fotograf-makinesi/canon-eos-760d-18-55mm.html
Nikon D7200 70-300mm,,24 MP,Full HD,2015 ,58,https://www.epey.com/dslr-fotograf-makinesi/nikon-d7200-70-300mm.html
Nikon D7200 11-16mm,,24 MP,Full HD,2015 ,58,https://www.epey.com/dslr-fotograf-makinesi/nikon-d7200-11-16mm.html
Nikon D5300,,24 MP,Full HD,2014 ,57,https://www.epey.com/dslr-fotograf-makinesi/nikon-d5300.html
Fujifilm X-A5 15-45mm,,24 MP,Ultra HD,2018 ,57,https://www.epey.com/aynasiz-fotograf-makinesi/fujifilm-x-a5-15-45mm.html
Nikon D7200 18-140mm,,24 MP,Full HD,2015 ,57,https://www.epey.com/dslr-fotograf-makinesi/nikon-d7200-18-140mm.html
Nikon D7200 18-105mm,,24 MP,Full HD,2015 ,57,https://www.epey.com/dslr-fotograf-makinesi/nikon-d7200-18-105mm.html
Fujifilm X-A7,,24 MP,Ultra HD,2019 ,57,https://www.epey.com/aynasiz-fotograf-makinesi/fujifilm-x-a7.html
Nikon D7200,,24 MP,Full HD,2015 ,57,https://www.epey.com/dslr-fotograf-makinesi/nikon-d7200.html
Panasonic LUMIX TZ95 (ZS80),,20 MP,Ultra HD,2019 ,57,https://www.epey.com/kompakt-fotograf-makinesi/panasonic-lumix-tz95.html
Canon EOS 70D 18-200mm,,20 MP,Full HD,2013 ,56,https://www.epey.com/dslr-fotograf-makinesi/canon-eos-70d-18-200mm.html
Canon PowerShot G5 X,,20 MP,Full HD,2015 ,56,https://www.epey.com/kompakt-fotograf-makinesi/canon-powershot-g5-x.html
Fujifilm X-A5,,24 MP,Ultra HD,2018 ,56,https://www.epey.com/aynasiz-fotograf-makinesi/fujifilm-x-a5.html
Olympus PEN-F,,20 MP,Full HD,2016 ,56,https://www.epey.com/aynasiz-fotograf-makinesi/olympus-pen-f.html
Sony DSC-RX10,,20 MP,Full HD,2013 ,56,https://www.epey.com/kompakt-fotograf-makinesi/sony-dsc-rx10.html
Sony DSC-HX90,,18 MP,Full HD,2015 ,56,https://www.epey.com/kompakt-fotograf-makinesi/sony-dsc-hx90.html
Sony DSC-RX100 II,,20 MP,Full HD,2013 ,56,https://www.epey.com/kompakt-fotograf-makinesi/sony-dsc-rx100-ii.html
Canon EOS 7D,,18 MP,Full HD,2009 ,55,https://www.epey.com/dslr-fotograf-makinesi/canon-eos-7d.html
Canon EOS 100D,,18 MP,Full HD,2013 ,55,https://www.epey.com/dslr-fotograf-makinesi/canon-eos-100d.html
Nikon D5100,,16 MP,Full HD,2011 ,55,https://www.epey.com/dslr-fotograf-makinesi/nikon-d5100.html
Olympus OM-D E-M10 Mark II 14-42mm,,16 MP,Full HD,2015 ,55,https://www.epey.com/aynasiz-fotograf-makinesi/olympus-om-d-e-m10-mark-ii-14-42mm.html
Olympus OM-D E-M10 Mark II,,16 MP,Full HD,2015 ,55,https://www.epey.com/aynasiz-fotograf-makinesi/olympus-om-d-e-m10-mark-ii.html
Nikon D3400 18-200mm,,24 MP,Full HD,2016 ,54,https://www.epey.com/dslr-fotograf-makinesi/nikon-d3400-18-200mm.html
Nikon D3400 70-300mm,,24 MP,Full HD,2016 ,54,https://www.epey.com/dslr-fotograf-makinesi/nikon-d3400-70-300mm.html
Nikon D3400 11-16mm,,24 MP,Full HD,2016 ,54,https://www.epey.com/dslr-fotograf-makinesi/nikon-d3400-11-16mm.html
Canon PowerShot SX60 HS,,16 MP,Full HD,2014 ,54,https://www.epey.com/kompakt-fotograf-makinesi/canon-powershot-sx60-hs.html
Olympus Tough TG-5,,12 MP,Ultra HD,2017 ,54,https://www.epey.com/kompakt-fotograf-makinesi/olympus-tough-tg-5.html
Canon EOS 700D 50mm,,18 MP,Full HD,2013 ,54,https://www.epey.com/dslr-fotograf-makinesi/canon-eos-700d-50mm.html
Canon PowerShot G9 X,,20 MP,Full HD,2015 ,54,https://www.epey.com/kompakt-fotograf-makinesi/canon-powershot-g9-x.html
Nikon D3400 18-140mm,,24 MP,Full HD,2016 ,54,https://www.epey.com/dslr-fotograf-makinesi/nikon-d3400-18-140mm.html
Nikon D3400 18-105mm,,24 MP,Full HD,2016 ,54,https://www.epey.com/dslr-fotograf-makinesi/nikon-d3400-18-105mm.html
Fujifilm X100F,,24 MP,Full HD,2017 ,54,https://www.epey.com/kompakt-fotograf-makinesi/fujifilm-x100f.html
Canon EOS 2000D,,24 MP,Full HD,2018 ,54,https://www.epey.com/dslr-fotograf-makinesi/canon-eos-2000d.html
Nikon D7000 55-300mm,,16 MP,Full HD,2010 ,54,https://www.epey.com/dslr-fotograf-makinesi/nikon-d7000-55-300mm.html
Nikon D7000 18-55mm,,16 MP,Full HD,2010 ,54,https://www.epey.com/dslr-fotograf-makinesi/nikon-d7000-18-55mm.html
Ricoh GR II,,16 MP,Full HD,2015 ,53,https://www.epey.com/kompakt-fotograf-makinesi/ricoh-gr-ii.html
Nikon D7000 55-200mm,,16 MP,Full HD,2010 ,53,https://www.epey.com/dslr-fotograf-makinesi/nikon-d7000-55-200mm.html
Canon EOS M3 15-45mm,,24 MP,Full HD,2015 ,53,https://www.epey.com/aynasiz-fotograf-makinesi/canon-eos-m3-15-45mm.html
Canon EOS M3 18-55mm,,24 MP,Full HD,2015 ,53,https://www.epey.com/aynasiz-fotograf-makinesi/canon-eos-m3-18-55mm.html
Nikon D7000,,16 MP,Full HD,2010 ,53,https://www.epey.com/dslr-fotograf-makinesi/nikon-d7000.html
Canon EOS M3,,24 MP,Full HD,2015 ,53,https://www.epey.com/aynasiz-fotograf-makinesi/canon-eos-m3.html
Sony DSC-HX90V,,18 MP,Full HD,2015 ,53,https://www.epey.com/kompakt-fotograf-makinesi/sony-dsc-hx90v.html
Nikon D5200 55-200mm,,24 MP,Full HD,2013 ,53,https://www.epey.com/dslr-fotograf-makinesi/nikon-d5200-55-200mm.html
Canon EOS 4000D 50mm,,18 MP,Full HD,2018 ,52,https://www.epey.com/dslr-fotograf-makinesi/canon-eos-4000d-50mm.html
Canon PowerShot G7 X,,20 MP,Full HD,2014 ,52,https://www.epey.com/kompakt-fotograf-makinesi/canon-powershot-g7-x.html
Fujifilm FinePix XP140,,16 MP,Ultra HD,2019 ,52,https://www.epey.com/kompakt-fotograf-makinesi/fujifilm-finepix-xp140.html
Nikon D3200,,24 MP,Full HD,2012 ,52,https://www.epey.com/dslr-fotograf-makinesi/nikon-d3200.html
Canon EOS 1300D 50mm,,18 MP,Full HD,2016 ,52,https://www.epey.com/dslr-fotograf-makinesi/canon-eos-1300d-50mm.html
Fujifilm X-T1 18-135mm,,16 MP,Full HD,2014 ,52,https://www.epey.com/aynasiz-fotograf-makinesi/fujifilm-x-t1-18-135mm.html
Canon EOS 4000D,,18 MP,Full HD,2018 ,52,https://www.epey.com/dslr-fotograf-makinesi/canon-eos-4000d.html
Samsung NX3300 16-50mm,,20 MP,Full HD,2015 ,42,https://www.epey.com/aynasiz-fotograf-makinesi/samsung-nx3300-16-50mm.html
Canon IXUS 190,,20 MP,HD,2017 ,42,https://www.epey.com/kompakt-fotograf-makinesi/canon-ixus-190.html
Canon EOS 1100D 18-55mm,,12 MP,HD,2011 ,41,https://www.epey.com/dslr-fotograf-makinesi/canon-eos-1100d-18-55mm.html
Sony NEX-5RL,,16 MP,Full HD,-,41,https://www.epey.com/aynasiz-fotograf-makinesi/sony-nex-5rl.html
Sony DSC-H400,,20 MP,HD,2014 ,40,https://www.epey.com/kompakt-fotograf-makinesi/sony-dsc-h400.html
Canon IXUS 160,,20 MP,HD,2015 ,40,https://www.epey.com/kompakt-fotograf-makinesi/canon-ixus-160.html
Nikon Coolpix W150,,13 MP,Full HD,2019 ,40,https://www.epey.com/kompakt-fotograf-makinesi/nikon-coolpix-w150.html
Fujifilm FinePix XP120,,16 MP,Full HD,2017 ,39,https://www.epey.com/kompakt-fotograf-makinesi/fujifilm-finepix-xp120.html
Fujifilm FinePix XP80,,16 MP,Full HD,2015 ,39,https://www.epey.com/kompakt-fotograf-makinesi/fujifilm-finepix-xp80.html
Fujifilm XF1,,12 MP,Full HD,2012 ,39,https://www.epey.com/kompakt-fotograf-makinesi/fujifilm-xf1.html
Nikon Coolpix W100,,13 MP,Full HD,2016 ,37,https://www.epey.com/kompakt-fotograf-makinesi/nikon-coolpix-w100.html
Canon IXUS 175,,20 MP,HD,2016 ,37,https://www.epey.com/kompakt-fotograf-makinesi/canon-ixus-175.html
Panasonic Lumix DMC-FZ72,,16 MP,Full HD,2013 ,37,https://www.epey.com/kompakt-fotograf-makinesi/panasonic-lumix-dmc-fz72.html
Canon IXUS 177,,20 MP,HD,2016 ,36,https://www.epey.com/kompakt-fotograf-makinesi/canon-ixus-177.html
Nikon Coolpix A300,,20 MP,HD,2016 ,35,https://www.epey.com/kompakt-fotograf-makinesi/nikon-coolpix-a300.html
Nikon Coolpix L340,,20 MP,HD,2015 ,35,https://www.epey.com/kompakt-fotograf-makinesi/nikon-coolpix-l340.html
Olympus Stylus 5010,,14 MP,HD,2010 ,34,https://www.epey.com/kompakt-fotograf-makinesi/olympus-stylus-5010.html
Olympus Stylus 7040,,14 MP,-,2010 ,33,https://www.epey.com/kompakt-fotograf-makinesi/olympus-stylus-7040.html
Casio Exilim EX-N10,,16 MP,HD,2012 ,32,https://www.epey.com/kompakt-fotograf-makinesi/casio-exilim-ex-n10.html
Nikon Coolpix A100,,20 MP,HD,2016 ,31,https://www.epey.com/kompakt-fotograf-makinesi/nikon-coolpix-a100.html
Samsung WB1100F,,16 MP,HD,2014 ,30,https://www.epey.com/kompakt-fotograf-makinesi/samsung-wb1100f.html
Kodak FZ41,,16 MP,HD,2013 ,30,https://www.epey.com/kompakt-fotograf-makinesi/kodak-fz41.html
Nikon Coolpix A10,,16 MP,HD,2016 ,30,https://www.epey.com/kompakt-fotograf-makinesi/nikon-coolpix-a10.html
Kodak PIXPRO WP1,,16 MP,HD,2012 ,28,https://www.epey.com/kompakt-fotograf-makinesi/kodak-pixpro-wp1.html
Polaroid i1037,,10 MP,-,2009 ,23,https://www.epey.com/kompakt-fotograf-makinesi/polaroid-i1037.html
Nikon Coolpix S2500,,12 MP,-,2011 ,22,https://www.epey.com/kompakt-fotograf-makinesi/nikon-coolpix-s2500.html
General Home AK-872,,8 MP,-,-,21,https://www.epey.com/aksiyon-kamera/general-home-ak-872.html
Samsung WB200F,,14 MP,-,2013 ,20,https://www.epey.com/kompakt-fotograf-makinesi/samsung-wb200f.html
Quelima SQ23,,2 MP,-,-,14,https://www.epey.com/aksiyon-kamera/quelima-sq23.html
Polaroid OneStep+ (OneStep Plus),,-,-,-,9,https://www.epey.com/sipsak-fotograf-makinesi/polaroid-onestep-plus-onestep-plus.html
Fujifilm X-T1 18-55mm,,16 MP,Full HD,2014 ,52,https://www.epey.com/aynasiz-fotograf-makinesi/fujifilm-x-t1-18-55mm.html
Nikon D5200 18-140mm,,24 MP,Full HD,2013 ,52,https://www.epey.com/dslr-fotograf-makinesi/nikon-d5200-18-140mm.html
Nikon D3300 18-140mm,,24 MP,Full HD,2014 ,52,https://www.epey.com/dslr-fotograf-makinesi/nikon-d3300-18-140mm.html
Nikon D3300 18-105mm,,24 MP,Full HD,2014 ,52,https://www.epey.com/dslr-fotograf-makinesi/nikon-d3300-18-105mm.html
Canon EOS 1300D,,18 MP,Full HD,2016 ,52,https://www.epey.com/dslr-fotograf-makinesi/canon-eos-1300d.html
Sony DSC-HX350,,20 MP,Full HD,2016 ,52,https://www.epey.com/kompakt-fotograf-makinesi/sony-dsc-hx350.html
Sony DSC-HX60V,,20 MP,Full HD,2014 ,52,https://www.epey.com/kompakt-fotograf-makinesi/sony-dsc-hx60v.html
Nikon D7100 55-300mm,,24 MP,Full HD,2013 ,52,https://www.epey.com/dslr-fotograf-makinesi/nikon-d7100-55-300mm.html
Nikon D7100 55-200mm,,24 MP,Full HD,2013 ,51,https://www.epey.com/dslr-fotograf-makinesi/nikon-d7100-55-200mm.html
Nikon D7100 18-200mm,,24 MP,Full HD,2013 ,51,https://www.epey.com/dslr-fotograf-makinesi/nikon-d7100-18-200mm.html
Fujifilm X-T1,,16 MP,Full HD,2014 ,51,https://www.epey.com/aynasiz-fotograf-makinesi/fujifilm-x-t1.html
Nikon D7100 18-55mm,,24 MP,Full HD,2013 ,51,https://www.epey.com/dslr-fotograf-makinesi/nikon-d7100-18-55mm.html
Canon EOS M10 15-45mm,,18 MP,Full HD,2015 ,51,https://www.epey.com/aynasiz-fotograf-makinesi/canon-eos-m10-15-45mm.html
Sony DSC-HX60,,20 MP,Full HD,2014 ,51,https://www.epey.com/kompakt-fotograf-makinesi/sony-dsc-hx60.html
Canon EOS 600D 18-135mm,,18 MP,Full HD,2011 ,51,https://www.epey.com/dslr-fotograf-makinesi/canon-eos-600d-18-135mm.html
Sony DSC-WX350,,18 MP,Full HD,2014 ,51,https://www.epey.com/kompakt-fotograf-makinesi/sony-dsc-wx350.html
Nikon Coolpix P900,,16 MP,Full HD,2015 ,50,https://www.epey.com/kompakt-fotograf-makinesi/nikon-coolpix-p900.html
Sony DSC-RX100,,20 MP,Full HD,2012 ,50,https://www.epey.com/kompakt-fotograf-makinesi/sony-dsc-rx100.html
Nikon D3100 18-105mm,,14 MP,Full HD,2010 ,50,https://www.epey.com/dslr-fotograf-makinesi/nikon-d3100-18-105mm.html
Canon EOS 60D 18-55mm,,18 MP,Full HD,2010 ,50,https://www.epey.com/dslr-fotograf-makinesi/canon-eos-60d-18-55mm.html
Canon PowerShot SX730 HS,,20 MP,Full HD,2017 ,50,https://www.epey.com/kompakt-fotograf-makinesi/canon-powershot-sx730-hs.html
Fujifilm X-A3 16-50mm,,24 MP,Full HD,2016 ,50,https://www.epey.com/aynasiz-fotograf-makinesi/fujifilm-x-a3-16-50mm.html
Nikon D3100,,14 MP,Full HD,2010 ,49,https://www.epey.com/dslr-fotograf-makinesi/nikon-d3100.html
Fujifilm X70,,16 MP,Full HD,2016 ,49,https://www.epey.com/kompakt-fotograf-makinesi/fujifilm-x70.html
Fujifilm X-A3,,24 MP,Full HD,2016 ,49,https://www.epey.com/aynasiz-fotograf-makinesi/fujifilm-x-a3.html
Yi M1 (Xiaomi),,20 MP,Ultra HD,2016 ,49,https://www.epey.com/aynasiz-fotograf-makinesi/xiaoyi-yi-m1.html
Canon EOS 1200D 18-135mm,,18 MP,Full HD,2014 ,49,https://www.epey.com/dslr-fotograf-makinesi/canon-eos-1200d-18-135mm.html
Canon EOS 1200D,,18 MP,Full HD,2014 ,48,https://www.epey.com/dslr-fotograf-makinesi/canon-eos-1200d.html
Fujifilm X-T10,,16 MP,Full HD,2015 ,48,https://www.epey.com/aynasiz-fotograf-makinesi/fujifilm-x-t10.html
Fujifilm X-E2S 18-55mm,,16 MP,Full HD,2016 ,47,https://www.epey.com/aynasiz-fotograf-makinesi/fujifilm-x-e2s-18-55mm.html
Fujifilm X-E2S,,16 MP,Full HD,2016 ,47,https://www.epey.com/aynasiz-fotograf-makinesi/fujifilm-x-e2s.html
Nikon Coolpix AW130,,16 MP,Full HD,2015 ,46,https://www.epey.com/kompakt-fotograf-makinesi/nikon-coolpix-aw130.html
Canon PowerShot SX610 HS,,20 MP,Full HD,2015 ,45,https://www.epey.com/kompakt-fotograf-makinesi/canon-powershot-sx610-hs.html
Canon PowerShot SX530 HS,,16 MP,Full HD,2015 ,45,https://www.epey.com/kompakt-fotograf-makinesi/canon-powershot-sx530-hs.html
Nikon 1 J4,,18 MP,Full HD,2014 ,45,https://www.epey.com/aynasiz-fotograf-makinesi/nikon-1-j4.html
Kodak Pixpro AZ652,,20 MP,Full HD,2015 ,45,https://www.epey.com/kompakt-fotograf-makinesi/kodak-pixpro-az652.html
Fujifilm FinePix XP130,,16 MP,Full HD,2018 ,45,https://www.epey.com/kompakt-fotograf-makinesi/fujifilm-finepix-xp130.html
Nikon Coolpix A900,,20 MP,Ultra HD,2016 ,45,https://www.epey.com/kompakt-fotograf-makinesi/nikon-coolpix-a900.html
Nikon D90,,12 MP,HD,2008 ,44,https://www.epey.com/dslr-fotograf-makinesi/nikon-d90.html
Canon IXUS 285 HS,,20 MP,-,-,44,https://www.epey.com/kompakt-fotograf-makinesi/canon-ixus-285-hs.html
Nikon D5000 18-105mm,,12 MP,HD,2009 ,44,https://www.epey.com/dslr-fotograf-makinesi/nikon-d5000-18-105mm.html
Panasonic Lumix DMC-TZ35,,16 MP,Full HD,2013 ,43,https://www.epey.com/kompakt-fotograf-makinesi/panasonic-dmc-tz35.html
Nikon D5000,,12 MP,HD,2009 ,43,https://www.epey.com/dslr-fotograf-makinesi/nikon-d5000.html
Samsung NX20,,20 MP,Full HD,2012 ,43,https://www.epey.com/aynasiz-fotograf-makinesi/samsung-nx20.html
Sony DSC-WX5,,12 MP,Full HD,2010 ,42,https://www.epey.com/kompakt-fotograf-makinesi/sony-dsc-wx5.html
Canon PowerShot SX420 IS,,20 MP,HD,2016 ,42,https://www.epey.com/kompakt-fotograf-makinesi/canon-powershot-sx420-is.html
Samsung NX Mini,,20 MP,Full HD,2016 ,42,https://www.epey.com/aynasiz-fotograf-makinesi/samsung-nx-mini.html
Canon PowerShot SX430 IS,,20 MP,HD,2017 ,42,https://www.epey.com/kompakt-fotograf-makinesi/canon-powershot-sx430-is.html
Nikon CoolPix B500,,16 MP,Full HD,2016 ,42,https://www.epey.com/kompakt-fotograf-makinesi/nikon-coolpix-b500.html
Kodak PIXPRO S-1,,16 MP,Full HD,2014 ,42,https://www.epey.com/aynasiz-fotograf-makinesi/kodak-pixpro-s-1.html
