Ürün Adı,Fiyat,Kategori,Silindir Hacmi,Beygir Gücü (bg),Teknik Puan,Link
Piaggio Liberty 150,,Scooter,150 cc,11.9 ,19.0,https://www.epey.com/motosiklet/piaggio-liberty-150.html
Kanuni RS125,,Scooter,124.6 cc,8.1 ,19.0,https://www.epey.com/motosiklet/kanuni-rs125.html
Lifan Dragon 125,,Touring,124 cc,9.3 ,19.0,https://www.epey.com/motosiklet/lifan-dragon-125.html
Falcon Sport 100,,Touring,97.8 cc,9.4 ,19.0,https://www.epey.com/motosiklet/falcon-sport-100.html
MotoLux ROSSI 125,,Scooter,125 cc,7.1 ,19.0,https://www.epey.com/motosiklet/motolux-rossi-125.html
Mondial 100 Masti X,,Touring,97 cc,9.1 ,19.0,https://www.epey.com/motosiklet/mondial-100-masti-x.html
Mondial 100 Masti,,Touring,97 cc,9.1 ,19.0,https://www.epey.com/motosiklet/mondial-100-masti.html
SYM Fiddle III 125,,Scooter,124.6 cc,9.7 ,19.0,https://www.epey.com/motosiklet/sym-fiddle-iii-125.html
Kuba CARGO,,Scooter,130 cc,8.9 ,19.0,https://www.epey.com/motosiklet/kuba-cargo.html
RKS Pesaro 125,,Scooter,125 cc,8.04 ,18.0,https://www.epey.com/motosiklet/rks-pesaro-125.html
Falcon Runner 125,,Commuter,124 cc,9.7 ,18.0,https://www.epey.com/motosiklet/falcon-runner-125.html
Hero DASH-LX,,Scooter,110.9 cc,8.5 ,18.0,https://www.epey.com/motosiklet/hero-dash-lx.html
Kuba Pars,,Touring,150.05 cc,11.4 ,18.0,https://www.epey.com/motosiklet/kuba-pars.html
Hero DASH-VX,,Scooter,110.9 cc,8.5 ,18.0,https://www.epey.com/motosiklet/hero-dash-vx.html
SYM Crox 125,,Scooter,124.6 cc,8.7 ,18.0,https://www.epey.com/motosiklet/sym-crox-125.html
Hero DUET-LX,,Scooter,110.9 cc,8.5 ,18.0,https://www.epey.com/motosiklet/hero-duet-lx.html
Lifan TAY 100,,Cub,97.2 cc,7.5 ,18.0,https://www.epey.com/motosiklet/lifan-tay-100.html
Lifan TAY 100 (L),,Cub,97.2 cc,7.5 ,18.0,https://www.epey.com/motosiklet/lifan-tay-100-l.html
Falcon Supper Attack 100,,Commuter,97.8 cc,9.4 ,18.0,https://www.epey.com/motosiklet/falcon-supper-attack-100.html
Yamaha YBR 125,,Commuter,124 cc,10.0 ,18.0,https://www.epey.com/motosiklet/yamaha-ybr-125.html
Yamaha BW's 125,,Scooter,125 cc,8.9 ,18.0,https://www.epey.com/motosiklet/yamaha-bws-125.html
Yuki LX100-TLA Attact,,Cub,99 cc,8.7 ,18.0,https://www.epey.com/motosiklet/yuki-lx100-tla-attact.html
Yamaha Crypton,,Commuter,110 cc,6.9 ,17.0,https://www.epey.com/motosiklet/yamaha-crypton.html
Kuba STRIKE 150,,Touring,148 cc,12.2 ,17.0,https://www.epey.com/motosiklet/kuba-strike-150.html
Yuki ZN-150T-27 Retro,,Scooter,149 cc,8.04 ,17.0,https://www.epey.com/motosiklet/yuki-zn-150t-27-retro.html
Bisan CEYLAN 100cc Full Otomatik,,Cub,97 cc,5.7 ,17.0,https://www.epey.com/motosiklet/bisan-ceylan-100cc-full-otomatik.html
Yamaha YS125,,Commuter,125 cc,-,17.0,https://www.epey.com/motosiklet/yamaha-ys125.html
Mondial 125 ZNU,,Scooter,124.6 cc,8.7 ,17.0,https://www.epey.com/motosiklet/mondial-125-znu.html
Kuba ÇITA 150R,,Klasik,149 cc,11.2 ,17.0,https://www.epey.com/motosiklet/kuba-cita-150r.html
Suzuki VanVan 125,,Naked,125 cc,-,17.0,https://www.epey.com/motosiklet/suzuki-vanvan-125.html
Asya Shark 150,,Scooter,149 cc,8.2 ,17.0,https://www.epey.com/motosiklet/asya-shark-150.html
KTM 250 SX‑F,,Enduro,249 cc,-,17.0,https://www.epey.com/motosiklet/ktm-250-sxf.html
Kanuni Ruby S,,Scooter,99.8 cc,6.2 ,17.0,https://www.epey.com/motosiklet/kanuni-ruby-s.html
Suzuki Burgman 200,,Scooter,200 cc,-,17.0,https://www.epey.com/motosiklet/suzuki-burgman-200.html
Bisan SARDES 125,,Scooter,124.6 cc,8.8 ,17.0,https://www.epey.com/motosiklet/bisan-sardes-125.html
Salcano NOVA,,Scooter,149.6 cc,7.0 ,17.0,https://www.epey.com/motosiklet/salcano-nova.html
Kymco SUPER 8 125,,Scooter,125 cc,9.3 ,16.0,https://www.epey.com/motosiklet/kymco-super-8-125.html
Bisan AUTOCUB 100,,Cub,97 cc,5.7 ,16.0,https://www.epey.com/motosiklet/bisan-autocub-100.html
Salcano TIGER SPORT S,,Touring,124 cc,7.0 ,16.0,https://www.epey.com/motosiklet/salcano-tiger-sport-s.html
Vespa PX 150,,Scooter,150 cc,8.2 ,16.0,https://www.epey.com/motosiklet/vespa-px-150.html
Suzuki GSX-R125,,-,124 cc,-,16.0,https://www.epey.com/motosiklet/suzuki-gsx-r125.html
Yamaha Cygnus L,,Scooter,102 cc,6.7 ,16.0,https://www.epey.com/motosiklet/yamaha-cygnus-l.html
Yamaha Delight 115cc,,Scooter,114 cc,-,16.0,https://www.epey.com/motosiklet/yamaha-delight-115cc.html
Mondial UAG 100,,Commuter,97 cc,-,16.0,https://www.epey.com/motosiklet/mondial-uag-100.html
Honda Spacy Alpha,,Scooter,108 cc,8.7 ,16.0,https://www.epey.com/motosiklet/honda-spacy-alpha.html
Honda CB125F,,Commuter,125 cc,-,16.0,https://www.epey.com/motosiklet/honda-cb125f.html
Yamaha Delight 125cc,,Scooter,125 cc,-,16.0,https://www.epey.com/motosiklet/yamaha-delight-125cc.html
Asya Nostalji 125,,Scooter,124 cc,8.0 ,16.0,https://www.epey.com/motosiklet/asya-nostalji-125.html
Mondial 100 MFM,,Cub,97 cc,6.4 ,16.0,https://www.epey.com/motosiklet/mondial-100-mfm.html
Kuba KEE100,,Cub,97 cc,6.7 ,16.0,https://www.epey.com/motosiklet/kuba-kee100.html
Lifan Moped,,Cub,49 cc,2.9 ,16.0,https://www.epey.com/motosiklet/lifan-moped.html
Salcano TIGER SPEED 100,,Touring,97 cc,7.0 ,16.0,https://www.epey.com/motosiklet/salcano-tiger-speed-100.html
Honda Spacy,,Scooter,108 cc,7.7 ,18.0,https://www.epey.com/motosiklet/honda-spacy.html
Regal Raptor Klasik 150,,Klasik,149 cc,12.0 ,18.0,https://www.epey.com/motosiklet/regal-raptor-klasik-150.html
Suzuki Burgman 200 ABS,,Scooter,200 cc,-,18.0,https://www.epey.com/motosiklet/suzuki-burgman-200-abs.html
Asya SkyMax-Pro,,-,124 cc,6.7 ,18.0,https://www.epey.com/motosiklet/asya-skymax-pro.html
Bisan ECO CUB 100PRO,,Cub,97 cc,7.1 ,18.0,https://www.epey.com/motosiklet/bisan-eco-cub-100pro.html
Mondial RX1i Evo,,Enduro,125 cc,-,18.0,https://www.epey.com/motosiklet/mondial-rx1i-evo.html
Bisan ROADSTAR Cub 100,,Cub,97 cc,7.0 ,18.0,https://www.epey.com/motosiklet/bisan-roadstar-cub-100.html
Kanuni Explorer,,Scooter,149 cc,8.8 ,18.0,https://www.epey.com/motosiklet/kanuni-explorer.html
Kanuni CUP 100S,,Cub,97 cc,6.1 ,18.0,https://www.epey.com/motosiklet/kanuni-cup-100s.html
Mondial 100 MFH,,Cub,97 cc,6.4 ,18.0,https://www.epey.com/motosiklet/mondial-100-mfh.html
SYM Mio 100,,Scooter,99 cc,7.7 ,18.0,https://www.epey.com/motosiklet/sym-mio-100.html
Mondial 125 NT Turkuaz,,Scooter,125 cc,7.5 ,18.0,https://www.epey.com/motosiklet/mondial-125-nt-turkuaz.html
Kanuni Breton S100,,Commuter,97 cc,7.4 ,18.0,https://www.epey.com/motosiklet/kanuni-breton-s100.html
Bisan YENİ TROY 100,,Scooter,97 cc,4.7 ,18.0,https://www.epey.com/motosiklet/bisan-yeni-troy-100.html
Salcano TIGER SPEED 125,,Touring,124 cc,9.8 ,18.0,https://www.epey.com/motosiklet/salcano-tiger-speed-125.html
KTM 125 EXC,,Enduro,124.8 cc,-,18.0,https://www.epey.com/motosiklet/ktm-125-exc.html
Mondial 125 Aggressive,,Touring,119.7 cc,8.0 ,17.0,https://www.epey.com/motosiklet/mondial-125-aggressive.html
Kuba RAVAN,,Touring,137 cc,10.8 ,17.0,https://www.epey.com/motosiklet/kuba-ravan.html
Kral KR150-G Kaptan,,Cub,149 cc,-,17.0,https://www.epey.com/motosiklet/kral-kr150-g-kaptan.html
Mondial 100 SFS SPORT,,Cub,97 cc,5.8 ,17.0,https://www.epey.com/motosiklet/mondial-100-sfs-sport.html
Yuki ZN-150T-E5 Legend,,Scooter,149 cc,8.04 ,17.0,https://www.epey.com/motosiklet/yuki-zn-150t-e5-legend.html
Derbi ETX 150,,Enduro,149 cc,12.0 ,17.0,https://www.epey.com/motosiklet/derbi-etx-150.html
Bisan OLYMPOS 150cc,,Scooter,149.6 cc,8.5 ,17.0,https://www.epey.com/motosiklet/bisan-olympos-150cc.html
Bisan MİSİS 100,,Scooter,99 cc,6.8 ,17.0,https://www.epey.com/motosiklet/bisan-misis-100.html
Suzuki GSX-S125,,Naked,124 cc,-,17.0,https://www.epey.com/motosiklet/suzuki-gsx-s125.html
Asya SkyMax,,-,124 cc,6.7 ,17.0,https://www.epey.com/motosiklet/asya-skymax.html
Hero Pleasure,,Scooter,102 cc,6.9 ,17.0,https://www.epey.com/motosiklet/hero-pleasure.html
Lifan SHOWING 125,,Cub,120 cc,7.7 ,17.0,https://www.epey.com/motosiklet/lifan-showing-125.html
Mondial KD-125 F,,Touring,124 cc,-,17.0,https://www.epey.com/motosiklet/mondial-kd-125-f.html
Yamaha Tricity,,Scooter,124.8 cc,-,17.0,https://www.epey.com/motosiklet/yamaha-tricity.html
Yuki UYL-Enzo,,Scooter,50 cc,-,11.0,https://www.epey.com/motosiklet/yuki-uyl-enzo.html
Kuba ÇITA 100-F,,Klasik,99 cc,7.0 ,11.0,https://www.epey.com/motosiklet/kuba-cita-100-f.html
Mondial Eagle,,Scooter,49.6 cc,-,11.0,https://www.epey.com/motosiklet/mondial-eagle.html
Salcano ASTRO 100,,Scooter,97 cc,7.0 ,11.0,https://www.epey.com/motosiklet/salcano-astro-100.html
Kral KR-100-B SEYYAH,,Cub,97 cc,6 ,11.0,https://www.epey.com/motosiklet/kral-kr-100-b-seyyah.html
Kuba HASAT 100,,Scooter,99 cc,6.2 ,10.0,https://www.epey.com/motosiklet/kuba-hasat-100.html
Kuba RAZORE 100,,Touring,99 cc,6.1 ,10.0,https://www.epey.com/motosiklet/kuba-razore-100.html
Arora AR 100-8A (Tel Jant),,Touring,97 cc,7.50 ,10.0,https://www.epey.com/motosiklet/arora-ar-100-8a-modifiye-renkli-nikelaj.html
Asya QS 100,,Commuter,98 cc,-,10.0,https://www.epey.com/motosiklet/asya-qs-100.html
RKS Next 50,,Cub,50 cc,2.95 ,10.0,https://www.epey.com/motosiklet/rks-next-50.html
Volta RS1,,Scooter,49.6 cc,-,10.0,https://www.epey.com/motosiklet/volta-rs1.html
Asya Swift 150,,Touring,-,-,10.0,https://www.epey.com/motosiklet/asya-swift-150.html
Volta RS3,,Scooter,49.5 cc,-,10.0,https://www.epey.com/motosiklet/volta-rs3.html
Kuba Dragon 50,,Klasik,48 cc,2.41 ,10.0,https://www.epey.com/motosiklet/kuba-dragon-50.html
Kuba Ege 100,,Cub,97.2 cc,6.65 ,10.0,https://www.epey.com/motosiklet/kuba-ege-100.html
Kuba Rainbow 100,,Cub,97 cc,6.2 ,10.0,https://www.epey.com/motosiklet/kuba-rainbow.html
Suzuki Burgman 400ZA,,Scooter,-,-,9.0,https://www.epey.com/motosiklet/suzuki-burgman-400za.html
Mondial 100 Loyal,,Scooter,97 cc,-,9.0,https://www.epey.com/motosiklet/mondial-100-loyal.html
Asya Polo 50,,Scooter,49 cc,3.1 ,9.0,https://www.epey.com/motosiklet/asya-polo-50.html
Kuba Filinta 100,,Klasik,99 cc,6.4 ,8.0,https://www.epey.com/motosiklet/kuba-filinta-100.html
Kuba FIGHTER 80,,Scooter,79 cc,3.8 ,7.0,https://www.epey.com/motosiklet/kuba-fighter-80.html
Kuba Runner 50,,Cub,49.4 cc,2.82 ,7.0,https://www.epey.com/motosiklet/kuba-runner-50.html
Arora AR 50-30 (Çelik Jant),,Touring,49 cc,3 ,7.0,https://www.epey.com/motosiklet/arora-ar-50-30-celik-jant.html
Arora AR 50-30 (Tel Jant),,Touring,49 cc,3 ,7.0,https://www.epey.com/motosiklet/arora-ar-50-30-tel-jant.html
Kuba Fighter 50,,Scooter,49 cc,3.8 ,7.0,https://www.epey.com/motosiklet/kuba-fighter-50.html
Stmax Dabra 50,,Scooter,-,-,6.0,https://www.epey.com/motosiklet/stmax-dabra-50.html
Arora AR100-8,,Touring,97 cc,6.4 ,5.0,https://www.epey.com/motosiklet/arora-ar100-8.html
Arora AR Special 50,,Scooter,49 cc,3 ,3.0,https://www.epey.com/motosiklet/arora-ar-special-50.html
Stmax Bravo 50,,Scooter,50 cc,-,2.0,https://www.epey.com/motosiklet/stmax-bravo-50.html
Arora AR 50-20 TODEY,,Scooter,49 cc,3 ,2.0,https://www.epey.com/motosiklet/arora-ar-50-20-todey.html
Mondial 100 SFC AUTOMATİC X,,Cub,97 cc,5.8 ,16.0,https://www.epey.com/motosiklet/mondial-100-sfc-automatic-x.html
Kuba MATRIX 125,,Scooter,124.6 cc,8.44 ,15.0,https://www.epey.com/motosiklet/kuba-matrix-125.html
Dorado Arcon,,Scooter,152 cc,9.3 ,15.0,https://www.epey.com/motosiklet/dorado-arcon.html
Salcano TIGER SPORT,,Touring,97 cc,7.0 ,15.0,https://www.epey.com/motosiklet/salcano-tiger-sport.html
Falcon Magic 100 Lüx,,Cub,97 cc,7.2 ,15.0,https://www.epey.com/motosiklet/falcon-magic-100-lux.html
Kuba ÇITA 170-F BOSS,,Klasik,149.4 cc,11.2 ,15.0,https://www.epey.com/motosiklet/kuba-cita-170-f-boss.html
Kuba ÇITA 180-FC,,Klasik,149.4 cc,11.2 ,15.0,https://www.epey.com/motosiklet/kuba-cita-180-fc.html
Yuki YK 100-7-Y Paşa-S,,Cub,99 cc,5.9 ,15.0,https://www.epey.com/motosiklet/yuki-yk-100-7-y-pasa-s.html
Yuki YK 100-7 Paşa-S,,Cub,99 cc,5.9 ,15.0,https://www.epey.com/motosiklet/yuki-yk-100-7-pasa-s.html
Honda Wing Go (Disk Fren),,Cub,97.1 cc,6.4 ,15.0,https://www.epey.com/motosiklet/honda-wing-go-disk-fren.html
Haojue HJ125T-10E,,Scooter,124 cc,8.0 ,15.0,https://www.epey.com/motosiklet/haojue-hj125t-10e.html
Suzuki Address,,Scooter,113 cc,9.0 ,15.0,https://www.epey.com/motosiklet/suzuki-address.html
Kuba NIRVANA 150,,Scooter,149.6 cc,9.5 ,15.0,https://www.epey.com/motosiklet/kuba-nirvana-150.html
Mondial 100 RT,,Scooter,97 cc,6.7 ,15.0,https://www.epey.com/motosiklet/mondial-100-rt.html
Kuba ÇITA 170FX,,Klasik,149.4 cc,11.2 ,15.0,https://www.epey.com/motosiklet/kuba-cita-170fx.html
Salcano ALTAY 125,,Cub,120 cc,8.0 ,15.0,https://www.epey.com/motosiklet/salcano-altay-125.html
Daelim Dart 125,,Scooter,124.6 cc,8.3 ,14.0,https://www.epey.com/motosiklet/daelim-dart-125.html
Bisan ECO CUB 100S,,Cub,97 cc,7.1 ,14.0,https://www.epey.com/motosiklet/bisan-eco-cub-100s.html
Yuki Picasso 100 TB100T3E,,Scooter,97 cc,4.82 ,14.0,https://www.epey.com/motosiklet/yuki-picasso-100-tb100t3e.html
Kuba AJAX 150,,Touring,149.4 cc,11.2 ,14.0,https://www.epey.com/motosiklet/kuba-ajax-150.html
Kuba CG 150-K,,Klasik,149 cc,11.2 ,14.0,https://www.epey.com/motosiklet/kuba-cg-150-k.html
Asya Scootürk 100,,Scooter,97.2 cc,6.1 ,14.0,https://www.epey.com/motosiklet/asya-scooturk-100.html
Kuba RAZORE 150,,Touring,149 cc,11.2 ,14.0,https://www.epey.com/motosiklet/kuba-razore-150.html
Yuki ZN-100T-27 Retro,,Scooter,99 cc,8.9 ,14.0,https://www.epey.com/motosiklet/yuki-zn-100t-27-retro.html
Arora AR 185-20 Fırtına,,Commuter,170 cc,11.50 ,14.0,https://www.epey.com/motosiklet/arora-ar-185-20-firtina.html
Honda Wing Go (Tel Jant),,Cub,97.1 cc,6.4 ,14.0,https://www.epey.com/motosiklet/honda-wing-go-tel-jant.html
RKS RS 100,,Scooter,97.2 cc,6.97 ,14.0,https://www.epey.com/motosiklet/rks-rs-100.html
SYM Orbit II 125,,Scooter,124.6 cc,-,14.0,https://www.epey.com/motosiklet/sym-orbit-ii-125.html
Asya Turkcup Delux,,Cub,98 cc,7.2 ,14.0,https://www.epey.com/motosiklet/asya-turkcup-delux.html
Asya Turkcup Klasik,,Cub,98 cc,7.2 ,14.0,https://www.epey.com/motosiklet/asya-turkcup-klasik.html
Arora AR-50-11 ARES,,Scooter,49 cc,3 ,2.0,https://www.epey.com/motosiklet/arora-ar-50-11-ares.html
Arora AR 50-10 Toros,,Scooter,49 cc,3 ,2.0,https://www.epey.com/motosiklet/arora-ar-50-10-toros.html
Arora AR50-50 Kasırga,,Cub,49 cc,2.75 ,2.0,https://www.epey.com/motosiklet/arora-ar50-50-kasirga.html
Super Soco TC,,Elektrikli,-,-,,https://www.epey.com/motosiklet/super-soco-tc.html
Niu NQi GT,,Elektrikli,-,-,,https://www.epey.com/motosiklet/niu-nqi-gt.html
Yuki YK-22 Rüzgar,,Elektrikli,-,-,,https://www.epey.com/motosiklet/yuki-yk-22-ruzgar.html
Volta VSNL,,Elektrikli,-,-,,https://www.epey.com/motosiklet/volta-vsnl.html
Niu MQi+,,Elektrikli,-,-,,https://www.epey.com/motosiklet/niu-mqi-plus.html
Arora Atak,,Elektrikli,-,-,,https://www.epey.com/motosiklet/arora-atak.html
Falcon Smart 250,,Elektrikli,-,-,,https://www.epey.com/motosiklet/falcon-smart-250.html
Yuki YK-32 Pony One,,Elektrikli,-,-,,https://www.epey.com/motosiklet/yuki-yk-32-pony-one.html
Yuki YK-18 Carry Box,,Elektrikli,-,-,,https://www.epey.com/motosiklet/yuki-yk-18-carry-box.html
Stmax Star 1000,,Elektrikli,-,-,,https://www.epey.com/motosiklet/stmax-star-1000.html
Arora YLS,,Elektrikli,-,-,,https://www.epey.com/motosiklet/arora-yls.html
Yuki YK-20 Alfa,,Elektrikli,-,-,,https://www.epey.com/motosiklet/yuki-yk-20-alfa.html
Kuba RUHA 125,,Touring,124 cc,10.06 ,,https://www.epey.com/motosiklet/kuba-ruha-125.html
Niu UQi,,Elektrikli,-,-,,https://www.epey.com/motosiklet/niu-uqi.html
Volta VSXP,,Elektrikli,-,-,,https://www.epey.com/motosiklet/volta-vsxp.html
Super Soco TS,,Elektrikli,-,-,,https://www.epey.com/motosiklet/super-soco-ts.html
Benelli 125S,,Naked,124.8 cc,13.0 ,,https://www.epey.com/motosiklet/benelli-125s.html
Asya Turkcup Lux,,Cub,98 cc,7.2 ,14.0,https://www.epey.com/motosiklet/asya-turkcup-lux.html
SYM Symphony SR 125,,Scooter,124.6 cc,-,14.0,https://www.epey.com/motosiklet/sym-symphony-sr-125.html
Bisan CEYLAN BMP90,,Cub,86 cc,5.3 ,14.0,https://www.epey.com/motosiklet/bisan-ceylan-bmp90.html
Asya Efsane 125,,Scooter,125 cc,7.2 ,14.0,https://www.epey.com/motosiklet/asya-efsane-125.html
SYM Jet 4 125,,Scooter,124.6 cc,-,14.0,https://www.epey.com/motosiklet/sym-jet-4-125.html
RKS Next 100,,Cub,97.2 cc,6.65 ,13.0,https://www.epey.com/motosiklet/rks-next-100.html
Haojue HJ110-3,,Cub,-,6.7 ,13.0,https://www.epey.com/motosiklet/haojue-hj110-3.html
Salcano ALTAY 100,,Cub,97 cc,7.2 ,13.0,https://www.epey.com/motosiklet/salcano-altay-100.html
Salcano SPIDER XL,,Cub,97 cc,7.2 ,13.0,https://www.epey.com/motosiklet/salcano-spider-xl.html
Salcano SPIDER,,Cub,97 cc,7.2 ,13.0,https://www.epey.com/motosiklet/salcano-spider.html
SYM Fiddle II 125,,Scooter,124.6 cc,-,13.0,https://www.epey.com/motosiklet/sym-fiddle-ii-125.html
Yuki ZN-100T-E5 Legend,,Scooter,99 cc,8.9 ,13.0,https://www.epey.com/motosiklet/yuki-zn-100t-e5-legend.html
Yamaha Neo's 4,,Scooter,49 cc,-,13.0,https://www.epey.com/motosiklet/yamaha-neos-4.html
Salcano ASTRO 130,,Scooter,129 cc,9.0 ,13.0,https://www.epey.com/motosiklet/salcano-astro-130.html
Kuba SJ100-16D,,Cub,97 cc,6.2 ,12.0,https://www.epey.com/motosiklet/kuba-sj100-16d.html
Kuba ÇITA 125-F,,Klasik,124 cc,8.5 ,12.0,https://www.epey.com/motosiklet/kuba-cita-125-f.html
Arora AR 185-18,,Touring,170 cc,11.50 ,12.0,https://www.epey.com/motosiklet/arora-ar-185-18-modifiye-renkli-nikelaj-motor.html
Yuki Picasso 50 TK50Q3,,Scooter,50 cc,2.81 ,12.0,https://www.epey.com/motosiklet/yuki-picasso-50-tk50q3.html
Asya T-Rex,,-,124 cc,6.7 ,12.0,https://www.epey.com/motosiklet/asya-t-rex.html
Kuba ÇITA 150R GOLD,,Klasik,149 cc,11.2 ,12.0,https://www.epey.com/motosiklet/kuba-cita-150r-gold.html
Stmax Milan 50,,Scooter,49 cc,-,12.0,https://www.epey.com/motosiklet/stmax-milan-50.html
Kuba ÇITA 100-FC,,Klasik,99 cc,7.0 ,12.0,https://www.epey.com/motosiklet/kuba-cita-100-fc.html
Kuba GOLF 100,,Scooter,97 cc,6.8 ,12.0,https://www.epey.com/motosiklet/kuba-golf-100.html
Kral KR130-16 Hilal,,Touring,128 cc,-,11.0,https://www.epey.com/motosiklet/kral-kr130-16-hilal.html
Asya Bubbly,,-,124 cc,6.7 ,11.0,https://www.epey.com/motosiklet/asya-bubbly.html
Kuba Twister 50,,Scooter,50 cc,3.62 ,11.0,https://www.epey.com/motosiklet/kuba-twister-50.html
Mondial Ritmica 110,,Scooter,112 cc,-,11.0,https://www.epey.com/motosiklet/mondial-ritmica-110.html
Asya Efsane Eco 100,,Scooter,99 cc,6.5 ,11.0,https://www.epey.com/motosiklet/asya-efsane-eco-100.html
Kuba ÇITA 100FX,,Klasik,99 cc,7.0 ,11.0,https://www.epey.com/motosiklet/kuba-cita-100fx.html
Arora AR 150 T-8H Joker,,Scooter,149 cc,7.60 ,11.0,https://www.epey.com/motosiklet/arora-ar-150-t-8h-joker.html
